update_id,week,date,program,project,milestone,author,role,team,update_text,signal_truth,severity_truth
U0121,6,2026-04-23,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),T. Abara,Data Eng Lead,Data Platform,"Heads up: the engineer who owns the access-control layer is out on leave for 2 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0125,6,2026-04-23,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Y. Fontaine,Program Manager,PMO,"Waiting on Cloud Infra to finalize the provisioned staging cluster before we can wire up the autoscaling policies. Not blocked today, but it's on the critical path.",dependency,high
U0131,6,2026-04-23,Merchant,Merchant Onboarding Portal,GA (Jun 23),C. Nakamura,Eng Lead,Merchant,"Security review of the merchant dashboard surfaced a few findings. None critical yet, but remediation could eat into the GA (Jun 23) buffer.",risk,medium
U0116,6,2026-04-24,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),W. Achebe,QA Lead,Quality,Good week. the ledger reconciliation job is feature-complete and we even cleared some tech debt. Confident on Phase-2 cutover (Jun 12).,on_track,low
U0119,6,2026-04-24,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,"Load testing on the rewards catalog is showing latency spikes under peak traffic. Not blocked yet, but this is a real risk to Beta (Jun 20).",risk,high
U0120,6,2026-04-24,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Cross-team dependency: Cutover (Jun 27) needs the provisioned staging cluster from Cloud Infra before we can integrate. Tracking their ETA.,dependency,medium
U0123,6,2026-04-24,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,Reminder that the service-mesh config can't ship without the shared identity dataset from Data Platform — flagging so the dependency is visible at the program level.,dependency,medium
U0126,6,2026-04-24,Infrastructure,API Gateway Rollout,Cutover (Jun 18),W. Achebe,QA Lead,Quality,Good week. the auth middleware is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 18).,on_track,low
U0127,6,2026-04-24,Infrastructure,API Gateway Rollout,Cutover (Jun 18),Z. Petrov,Program Manager,PMO,"Security review of the canary routing surfaced a few findings. None critical yet, but remediation could eat into the Cutover (Jun 18) buffer.",risk,medium
U0129,6,2026-04-24,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,Critical blocker on the vendor-risk assessments — a data-migration step is corrupting records and we've had to halt the rollout entirely.,blocker,critical
U0133,6,2026-04-24,Merchant,Merchant Onboarding Portal,GA (Jun 23),F. Andersen,Fullstack Eng,Merchant,Demo of the merchant dashboard to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0134,6,2026-04-24,Merchant,Payouts Reconciliation,v1 (Jun 16),F. Andersen,Fullstack Eng,Merchant,"Sprint goals met — the payout-matching job merged and deployed to staging, no issues. v1 (Jun 16) still on track.",on_track,low
U0139,7,2026-04-27,Payments Platform,Wallet 2.0,GA launch (Jun 30),R. Datta,Product Manager,Payments,"Waiting on Payments to finalize the new payments API contract before we can wire up the top-up endpoint. Not blocked today, but it's on the critical path.",dependency,high
U0141,7,2026-04-27,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),M. Lindqvist,Backend Eng,Payments,"the batch settlement pipeline depends on the shared design-system components from Platform, which has now slipped to next week. Coordinating revised timelines.",dependency,medium
U0146,7,2026-04-27,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),Y. Fontaine,Program Manager,PMO,"Heads up: the engineer who owns the historical backfill is out on leave for 3 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0151,7,2026-04-27,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,"All green on the legacy-route shim. Code review done, automated tests passing at 98% coverage.",on_track,low
U0140,7,2026-04-28,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Z. Petrov,Program Manager,PMO,We're seeing flaky test failures around the dispute-handling service that we can't reproduce locally. Worried it masks a deeper issue before Phase-2 cutover (Jun 12).,risk,medium
U0142,7,2026-04-28,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Z. Petrov,Program Manager,PMO,"Waiting on Payments to finalize the new payments API contract before we can wire up the batch settlement pipeline. Not blocked today, but it's on the critical path.",dependency,high
U0144,7,2026-04-28,Customer Experience,Loyalty Program,Beta (Jun 20),W. Achebe,QA Lead,Quality,Good week. the points-accrual engine is feature-complete and we even cleared some tech debt. Confident on Beta (Jun 20).,on_track,low
U0148,7,2026-04-28,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,"Wrapped the export-to-PDF feature ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0154,7,2026-04-28,Merchant,Merchant Onboarding Portal,GA (Jun 23),Z. Petrov,Program Manager,PMO,"Sprint goals met — the document-upload flow merged and deployed to staging, no issues. GA (Jun 23) still on track.",on_track,low
U0156,7,2026-04-28,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,"Sprint goals met — the bank-statement importer merged and deployed to staging, no issues. v1 (Jun 16) still on track.",on_track,low
U0157,7,2026-04-28,Growth,Marketing Automation,Campaign go-live (Jun 9),O. Lindgren,Eng Lead,Growth,"Sprint goals met — the segmentation engine merged and deployed to staging, no issues. Campaign go-live (Jun 9) still on track.",on_track,low
U0143,7,2026-04-29,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Cross-team dependency: Public release (Jul 7) needs the merchant-ID mapping service from Merchant before we can integrate. Tracking their ETA.,dependency,medium
U0145,7,2026-04-29,Customer Experience,Loyalty Program,Beta (Jun 20),Z. Petrov,Program Manager,PMO,"the redemption API depends on the merchant-ID mapping service from Merchant, which has now slipped to late June. Coordinating revised timelines.",dependency,medium
U0155,7,2026-04-29,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,Demo of the bank-statement importer to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0149,7,2026-04-30,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,"Sprint goals met — the blue-green deploy pipeline merged and deployed to staging, no issues. Prod migration (Jul 1) still on track.",on_track,low
U0150,7,2026-04-30,Infrastructure,API Gateway Rollout,Cutover (Jun 18),Z. Petrov,Program Manager,PMO,"All green on the legacy-route shim. Code review done, automated tests passing at 98% coverage.",on_track,low
U0153,7,2026-04-30,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),P. Whitlock,Security Lead,Security & Compliance,"the vendor-risk assessments is blocked: production access was not granted by Security. Raised a ticket last week, no movement yet.",blocker,high
U0158,7,2026-04-30,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,Demo of the segmentation engine to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0138,7,2026-05-01,Payments Platform,Wallet 2.0,GA launch (Jun 30),M. Lindqvist,Backend Eng,Payments,Cross-team dependency: GA launch (Jun 30) needs the provisioned staging cluster from Cloud Infra before we can integrate. Tracking their ETA.,dependency,medium
U0147,7,2026-05-01,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),W. Achebe,QA Lead,Quality,We're seeing flaky test failures around the access-control layer that we can't reproduce locally. Worried it masks a deeper issue before Cutover (Jun 27).,risk,medium
U0152,7,2026-05-01,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),W. Achebe,QA Lead,Quality,"the incident-response runbook depends on production access sign-off from Security & Compliance, which has now slipped to late June. Coordinating revised timelines.",dependency,medium
U0159,8,2026-05-04,Payments Platform,Wallet 2.0,GA launch (Jun 30),R. Datta,Product Manager,Payments,"Security review of the refunds module surfaced a few findings. None critical yet, but remediation could eat into the GA launch (Jun 30) buffer.",risk,medium
U0163,8,2026-05-04,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,Reminder that the push-notification service can't ship without the provisioned staging cluster from Cloud Infra — flagging so the dependency is visible at the program level.,dependency,medium
U0166,8,2026-05-04,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),W. Achebe,QA Lead,Quality,Estimate for the historical backfill was optimistic. Realistically I think we're trending behind on Cutover (Jun 27) — flagging early.,risk,high
U0168,8,2026-05-04,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,"Slightly concerned about v1 ship (Jun 6) — the data-refresh scheduler is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0169,8,2026-05-04,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,Cross-team dependency: Prod migration (Jul 1) needs the new payments API contract from Payments before we can integrate. Tracking their ETA.,dependency,medium
U0171,8,2026-05-04,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Y. Fontaine,Program Manager,PMO,Estimate for the service-mesh config was optimistic. Realistically I think we're trending behind on Prod migration (Jul 1) — flagging early.,risk,high
U0174,8,2026-05-04,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),Z. Petrov,Program Manager,PMO,"Waiting on Security & Compliance to finalize production access sign-off before we can wire up the vendor-risk assessments. Not blocked today, but it's on the critical path.",dependency,high
U0162,8,2026-05-05,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),A. Okafor,Eng Lead,Payments,"Waiting on Payments to finalize the new payments API contract before we can wire up the FX conversion module. Not blocked today, but it's on the critical path.",dependency,high
U0172,8,2026-05-05,Infrastructure,API Gateway Rollout,Cutover (Jun 18),D. Costa,Platform Eng Lead,Cloud Infra,"Wrapped the canary routing ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0178,8,2026-05-05,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"Sprint goals met — the segmentation engine merged and deployed to staging, no issues. Campaign go-live (Jun 9) still on track.",on_track,low
U0165,8,2026-05-06,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,Good week. the redemption API is feature-complete and we even cleared some tech debt. Confident on Beta (Jun 20).,on_track,low
U0176,8,2026-05-06,Merchant,Payouts Reconciliation,v1 (Jun 16),Z. Petrov,Program Manager,PMO,Demo of the exceptions queue to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0177,8,2026-05-06,Merchant,Payouts Reconciliation,v1 (Jun 16),G. Oyelaran,Product Manager,Merchant,"All green on the exceptions queue. Code review done, automated tests passing at 98% coverage.",on_track,low
U0160,8,2026-05-07,Payments Platform,Wallet 2.0,GA launch (Jun 30),Y. Fontaine,Program Manager,PMO,"Slightly concerned about GA launch (Jun 30) — the KYC flow is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0161,8,2026-05-07,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),A. Okafor,Eng Lead,Payments,Good week. the FX conversion module is feature-complete and we even cleared some tech debt. Confident on Phase-2 cutover (Jun 12).,on_track,low
U0164,8,2026-05-07,Customer Experience,Loyalty Program,Beta (Jun 20),H. Vasquez,Eng Lead,Loyalty,Good week. the rewards catalog is feature-complete and we even cleared some tech debt. Confident on Beta (Jun 20).,on_track,low
U0170,8,2026-05-07,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Z. Petrov,Program Manager,PMO,"Sprint goals met — the secrets-management setup merged and deployed to staging, no issues. Prod migration (Jul 1) still on track.",on_track,low
U0173,8,2026-05-07,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),Z. Petrov,Program Manager,PMO,"the change-management controls depends on the shared design-system components from Platform, which has now slipped to next week. Coordinating revised timelines.",dependency,medium
U0175,8,2026-05-07,Merchant,Merchant Onboarding Portal,GA (Jun 23),G. Oyelaran,Product Manager,Merchant,"Slightly concerned about GA (Jun 23) — the document-upload flow is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0167,8,2026-05-08,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),Z. Petrov,Program Manager,PMO,"Blocked: legal has not signed off on the the e-signature vendor contract, so we can't even start the the ingestion connectors integration. Slipping Cutover (Jun 27).",blocker,critical
U0180,9,2026-05-11,Payments Platform,Wallet 2.0,GA launch (Jun 30),M. Lindqvist,Backend Eng,Payments,"Security review of the card-vault integration surfaced a few findings. None critical yet, but remediation could eat into the GA launch (Jun 30) buffer.",risk,medium
U0182,9,2026-05-11,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),M. Lindqvist,Backend Eng,Payments,Good week. the FX conversion module is feature-complete and we even cleared some tech debt. Confident on Phase-2 cutover (Jun 12).,on_track,low
U0190,9,2026-05-11,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,"Wrapped the revenue widget ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0193,9,2026-05-11,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Y. Fontaine,Program Manager,PMO,"the autoscaling policies depends on the new payments API contract from Payments, which has now slipped to an unknown date. Coordinating revised timelines.",dependency,medium
U0198,9,2026-05-11,Merchant,Payouts Reconciliation,v1 (Jun 16),G. Oyelaran,Product Manager,Merchant,Good week. the bank-statement importer is feature-complete and we even cleared some tech debt. Confident on v1 (Jun 16).,on_track,low
U0183,9,2026-05-12,Customer Experience,Mobile App Revamp,Public release (Jul 7),S. Halvorsen,Eng Lead,Mobile,"Wrapped the redesigned checkout screen ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0186,9,2026-05-12,Customer Experience,Loyalty Program,Beta (Jun 20),B. Kim,Backend Eng,Loyalty,Cross-team dependency: Beta (Jun 20) needs the shared identity dataset from Data Platform before we can integrate. Tracking their ETA.,dependency,medium
U0184,9,2026-05-13,Customer Experience,Mobile App Revamp,Public release (Jul 7),J. Park,iOS Eng,Mobile,"All green on the redesigned checkout screen. Code review done, automated tests passing at 98% coverage.",on_track,low
U0188,9,2026-05-13,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,We're seeing flaky test failures around the access-control layer that we can't reproduce locally. Worried it masks a deeper issue before Cutover (Jun 27).,risk,medium
U0189,9,2026-05-13,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,Good week. the ingestion connectors is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 27).,on_track,low
U0192,9,2026-05-13,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,Good week. the service-mesh config is feature-complete and we even cleared some tech debt. Confident on Prod migration (Jul 1).,on_track,low
U0194,9,2026-05-13,Infrastructure,API Gateway Rollout,Cutover (Jun 18),W. Achebe,QA Lead,Quality,Good week. the auth middleware is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 18).,on_track,low
U0196,9,2026-05-13,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,Scope for the vendor-risk assessments grew after the stakeholder review — three new requirements added. Risk of overrunning Audit window (Jun 25).,risk,medium
U0197,9,2026-05-13,Merchant,Merchant Onboarding Portal,GA (Jun 23),C. Nakamura,Eng Lead,Merchant,"Slightly concerned about GA (Jun 23) — the risk-scoring step is taking longer than estimated, could slip ~2 week(s) if the current pace holds.",risk,medium
U0187,9,2026-05-14,Customer Experience,Loyalty Program,Beta (Jun 20),B. Kim,Backend Eng,Loyalty,"Sprint goals met — the rewards catalog merged and deployed to staging, no issues. Beta (Jun 20) still on track.",on_track,low
U0199,9,2026-05-14,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,Demo of the campaign scheduler to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0179,9,2026-05-15,Payments Platform,Wallet 2.0,GA launch (Jun 30),M. Lindqvist,Backend Eng,Payments,Reminder that the tokenization service can't ship without the new payments API contract from Payments — flagging so the dependency is visible at the program level.,dependency,medium
U0181,9,2026-05-15,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),W. Achebe,QA Lead,Quality,"Heads up: the engineer who owns the FX conversion module is out on leave for 1 weeks. Bus-factor risk, no clear backup right now.",risk,high
U0185,9,2026-05-15,Customer Experience,Mobile App Revamp,Public release (Jul 7),S. Halvorsen,Eng Lead,Mobile,"Sprint goals met — the offline mode merged and deployed to staging, no issues. Public release (Jul 7) still on track.",on_track,low
U0191,9,2026-05-15,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),T. Abara,Data Eng Lead,Data Platform,"Sprint goals met — the data-refresh scheduler merged and deployed to staging, no issues. v1 ship (Jun 6) still on track.",on_track,low
U0195,9,2026-05-15,Infrastructure,API Gateway Rollout,Cutover (Jun 18),N. Yusuf,SRE,Cloud Infra,Good week. the canary routing is feature-complete and we even cleared some tech debt. Confident on Cutover (Jun 18).,on_track,low
U0206,10,2026-05-18,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),K. Sørensen,Analytics Eng,Data Platform,We are stuck on the access-control layer. The upstream production access sign-off from Security & Compliance never arrived and our work is fully serialized behind it.,blocker,high
U0208,10,2026-05-18,Data & Analytics,Exec Analytics Dashboard,v1 ship (Jun 6),K. Sørensen,Analytics Eng,Data Platform,"All green on the export-to-PDF feature. Code review done, automated tests passing at 98% coverage.",on_track,low
U0209,10,2026-05-18,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),W. Achebe,QA Lead,Quality,"Wrapped the blue-green deploy pipeline ahead of schedule. QA sign-off received, nothing outstanding.",on_track,low
U0213,10,2026-05-18,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,"Hard blocker — the card-network sandbox sandbox has been down for 4 days, so the access-review evidence integration is completely untestable. Audit window (Jun 25) at risk.",blocker,critical
U0214,10,2026-05-18,Trust & Safety,SOC 2 Type II,Audit window (Jun 25),E. Ramirez,GRC Analyst,Security & Compliance,BLOCKED on the change-management controls: still waiting on Payments for the new payments API contract. We cannot proceed until this lands — escalating to the PMO.,blocker,high
U0216,10,2026-05-18,Merchant,Payouts Reconciliation,v1 (Jun 16),C. Nakamura,Eng Lead,Merchant,Demo of the exceptions queue to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0211,10,2026-05-19,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),Y. Fontaine,Program Manager,PMO,"Sprint goals met — the secrets-management setup merged and deployed to staging, no issues. Prod migration (Jul 1) still on track.",on_track,low
U0215,10,2026-05-19,Merchant,Merchant Onboarding Portal,GA (Jun 23),G. Oyelaran,Product Manager,Merchant,We're seeing flaky test failures around the document-upload flow that we can't reproduce locally. Worried it masks a deeper issue before GA (Jun 23).,risk,medium
U0207,10,2026-05-20,Data & Analytics,Lakehouse Migration,Cutover (Jun 27),Z. Petrov,Program Manager,PMO,"Slightly concerned about Cutover (Jun 27) — the historical backfill is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0210,10,2026-05-20,Infrastructure,Kubernetes Migration,Prod migration (Jul 1),D. Costa,Platform Eng Lead,Cloud Infra,Demo of the secrets-management setup to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0218,10,2026-05-20,Growth,Marketing Automation,Campaign go-live (Jun 9),V. Ibrahim,Marketing Ops,Growth,"Slightly concerned about Campaign go-live (Jun 9) — the campaign scheduler is taking longer than estimated, could slip ~3 week(s) if the current pace holds.",risk,medium
U0200,10,2026-05-21,Payments Platform,Wallet 2.0,GA launch (Jun 30),W. Achebe,QA Lead,Quality,Demo of the top-up endpoint to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0203,10,2026-05-21,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),Z. Petrov,Program Manager,PMO,Demo of the batch settlement pipeline to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0204,10,2026-05-21,Customer Experience,Mobile App Revamp,Public release (Jul 7),L. Moreau,Product Manager,Mobile,Good week. the offline mode is feature-complete and we even cleared some tech debt. Confident on Public release (Jul 7).,on_track,low
U0205,10,2026-05-21,Customer Experience,Loyalty Program,Beta (Jun 20),B. Kim,Backend Eng,Loyalty,Demo of the redemption API to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0212,10,2026-05-21,Infrastructure,API Gateway Rollout,Cutover (Jun 18),Y. Fontaine,Program Manager,PMO,Demo of the legacy-route shim to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0217,10,2026-05-21,Growth,Marketing Automation,Campaign go-live (Jun 9),W. Achebe,QA Lead,Quality,Good week. the segmentation engine is feature-complete and we even cleared some tech debt. Confident on Campaign go-live (Jun 9).,on_track,low
U0201,10,2026-05-22,Payments Platform,Wallet 2.0,GA launch (Jun 30),A. Okafor,Eng Lead,Payments,Demo of the KYC flow to stakeholders went well; positive feedback. Tracking to plan.,on_track,low
U0202,10,2026-05-22,Payments Platform,Settlement Engine,Phase-2 cutover (Jun 12),W. Achebe,QA Lead,Quality,Scope for the ledger reconciliation job grew after the stakeholder review — three new requirements added. Risk of overrunning Phase-2 cutover (Jun 12).,risk,medium
